Item,Biome,Sales (Stacks),Revenue (Emeralds),Sales Category,Total Value
Diamond,Savanna,120,2500,Medium,300000
Emerald,Badlands,200,3800,Medium,760000
Golden Apple,Jungle,150,2100,Medium,315000
Iron Ingot,Extreme Hills,300,1600,High,480000
Netherite Scrap,Nether Wastes,50,5000,Low,250000
Diamond,Jungle,120,2300,Medium,276000
Emerald,Savanna,200,4000,Medium,800000
Golden Apple,Badlands,150,2200,Medium,330000
Iron Ingot,Extreme Hills,300,1700,High,510000
Golden Apple,Jungle,150,2400,Medium,360000
